OpenTime,Open,High,Low,Close,Volume,CloseTime
02-Dec-2025 16:00:00,90850.01,92307.65,90201,91903.39,6152.68006,02-Dec-2025 19:59:59
02-Dec-2025 20:00:00,91903.38,92000,90720.87,91277.88,4416.96002,02-Dec-2025 23:59:59
03-Dec-2025 00:00:00,91277.88,93087.09,90990.23,92628.91,4425.07634,03-Dec-2025 03:59:59
03-Dec-2025 04:00:00,92628.91,93958.58,92625,92999.99,4546.45939,03-Dec-2025 07:59:59
03-Dec-2025 08:00:00,93000,93389.62,92666,93005.68,2770.10259,03-Dec-2025 11:59:59
03-Dec-2025 12:00:00,93005.68,93700,91697,92373.3,6523.23972,03-Dec-2025 15:59:59
03-Dec-2025 16:00:00,92373.3,93500,91786.99,93024.99,3624.68485,03-Dec-2025 19:59:59
03-Dec-2025 20:00:00,93025,94150,92825.56,93429.95,3822.96296,03-Dec-2025 23:59:59
04-Dec-2025 00:00:00,93429.95,94080,92669.82,93543.04,3844.7002,04-Dec-2025 03:59:59
04-Dec-2025 04:00:00,93543.03,93588.48,92775,93397.67,3070.50786,04-Dec-2025 07:59:59
04-Dec-2025 08:00:00,93397.67,93621.31,92736.9,92948.31,1917.02375,04-Dec-2025 11:59:59
04-Dec-2025 12:00:00,92948.32,93257,91801,92971.49,4296.15789,04-Dec-2025 15:59:59
04-Dec-2025 16:00:00,92971.49,93174.55,90889,91975.44,4860.7112,04-Dec-2025 19:59:59
04-Dec-2025 20:00:00,91975.43,92718.53,91688.92,92078.06,1814.83969,04-Dec-2025 23:59:59
05-Dec-2025 00:00:00,92078.06,92692.36,91959.92,92142.75,1751.29187,05-Dec-2025 03:59:59
05-Dec-2025 04:00:00,92142.75,92497.51,91813.37,92258.65,1387.19156,05-Dec-2025 07:59:59
05-Dec-2025 08:00:00,92258.64,92258.65,90956.25,91351.43,2431.69816,05-Dec-2025 11:59:59
05-Dec-2025 12:00:00,91351.44,91478.67,89874.7,90459.35,5344.16253,05-Dec-2025 15:59:59
05-Dec-2025 16:00:00,90459.34,90498.59,88056,89629.26,6507.53794,05-Dec-2025 19:59:59
05-Dec-2025 20:00:00,89629.27,89745.37,88901.6,89330.04,2371.09012,05-Dec-2025 23:59:59
06-Dec-2025 00:00:00,89330.04,89806.43,89030.67,89688.35,1531.03301,06-Dec-2025 03:59:59
06-Dec-2025 04:00:00,89688.35,89764.19,89459.19,89597.13,769.5235,06-Dec-2025 07:59:59
06-Dec-2025 08:00:00,89597.14,89750.01,89217.59,89631.28,1504.70502,06-Dec-2025 11:59:59
06-Dec-2025 12:00:00,89631.29,90289.97,89490.98,89758.77,2052.08066,06-Dec-2025 15:59:59
06-Dec-2025 16:00:00,89758.77,89981.2,89077.6,89405.64,1483.59614,06-Dec-2025 19:59:59
06-Dec-2025 20:00:00,89405.65,89615.34,88908.01,89236.79,1068.56183,06-Dec-2025 23:59:59
07-Dec-2025 00:00:00,89236.8,89749.59,89176.52,89722.37,712.48717,07-Dec-2025 03:59:59
07-Dec-2025 04:00:00,89722.37,89799.96,89200,89379.72,739.06202,07-Dec-2025 07:59:59
07-Dec-2025 08:00:00,89379.73,89538.7,89050.01,89149.18,786.60016,07-Dec-2025 11:59:59
07-Dec-2025 12:00:00,89149.18,89707.54,87719.28,89554.52,3916.92116,07-Dec-2025 15:59:59
07-Dec-2025 16:00:00,89554.52,91760,89115.85,91425.52,3838.31073,07-Dec-2025 19:59:59
07-Dec-2025 20:00:00,91425.51,91510.4,88995.33,90395.31,3027.73061,07-Dec-2025 23:59:59
08-Dec-2025 00:00:00,90395.32,91700,89860,91068.29,2453.60415,08-Dec-2025 03:59:59
08-Dec-2025 04:00:00,91068.3,91868.76,91023.06,91565.46,1592.48822,08-Dec-2025 07:59:59
08-Dec-2025 08:00:00,91565.46,92287.15,91486.46,91968.29,1953.05465,08-Dec-2025 11:59:59
08-Dec-2025 12:00:00,91968.29,92122.08,89612,89961.37,5223.15445,08-Dec-2025 15:59:59
08-Dec-2025 16:00:00,89961.36,90527.3,89679.79,90124.48,2589.84253,08-Dec-2025 19:59:59
08-Dec-2025 20:00:00,90124.49,91374,90124.49,90634.34,1981.49487,08-Dec-2025 23:59:59
09-Dec-2025 00:00:00,90634.35,90846.26,89795.84,90405.01,2355.41188,09-Dec-2025 03:59:59
09-Dec-2025 04:00:00,90405.02,90528.67,89500,90496.8,1867.61874,09-Dec-2025 07:59:59
09-Dec-2025 08:00:00,90496.8,90600,89912.48,90384.55,1562.48442,09-Dec-2025 11:59:59
09-Dec-2025 12:00:00,90384.54,92876.92,90004.73,92707.51,4917.67396,09-Dec-2025 15:59:59
09-Dec-2025 16:00:00,92707.5,94588.99,92693.5,93800.83,7304.45224,09-Dec-2025 19:59:59
09-Dec-2025 20:00:00,93800.83,93857.47,92254.92,92678.8,3232.7889,09-Dec-2025 23:59:59
10-Dec-2025 00:00:00,92678.81,92786.35,91976,92410.62,1996.9993,10-Dec-2025 03:59:59
10-Dec-2025 04:00:00,92410.62,92782.92,92386.83,92782.91,1363.84988,10-Dec-2025 07:59:59
10-Dec-2025 08:00:00,92782.91,93291.5,91763.69,92120.45,2623.05995,10-Dec-2025 11:59:59
10-Dec-2025 12:00:00,92120.45,92226,91563.15,92063.69,2523.14963,10-Dec-2025 15:59:59
10-Dec-2025 16:00:00,92063.69,93243.59,91684.39,92957.67,5420.4848,10-Dec-2025 19:59:59
10-Dec-2025 20:00:00,92957.67,94476,91878,92015.37,5071.13727,10-Dec-2025 23:59:59
11-Dec-2025 00:00:00,92015.38,92080.32,89389.63,89880.01,4081.1469,11-Dec-2025 03:59:59
11-Dec-2025 04:00:00,89880,90480.14,89694.81,90272.75,2245.33099,11-Dec-2025 07:59:59
